🎯 LEAD GENERATION DASHBOARD,,,,,,,,,,,
Total Leads:,107,Emails Found:,7,Hit Rate:,7%,Contacted:,0,Replied:,0,,
#,Business Name,Category,Country,City,Address,Website,Email,Phone,Email Status,Outreach Status,Notes
1,SEPHORA,Magasin de cosmétiques,US,New York,"580 5th Ave #1, New York, NY 10036",https://www.sephora.com/happening/stores/new-york-5th-avenue?utm_source=gmb&utm_medium=Yext,N/A,(212) 278-0037,⏳ Pending,,
2,Head Start & Early Learning Programs @ Amherst Community Child Care,Crèche,US,Amherst,"61 Strong St, Amherst, MA 01002",https://www.communityaction.us/program/center-based-head-start/,N/A,(413) 548-1290,⏳ Pending,,
3,Barcelone,,ES,Barcelone,"Barcelone, Espagne",,hselpenrollment@communityaction.us,,✅ Found,,
4,Head Start & Early Learning Programs,École maternelle,US,Amherst,"1200 N Pleasant St, Amherst, MA 01002",,N/A,(413) 548-1282,⏳ Pending,,
5,Smart Start Ignition Interlock,Fournisseur d'équipement de sécurité,US,Hadley,"30 Russell St Rt. 9, Hadley, MA 01035",https://www.smartstartinc.com/locations/ignition-interlock-massachusetts-hadley-30-russell-st-01035/?utm_source=Google&utm_campaign=1119&utm_medium=locations_organic,N/A,(413) 923-3193,⏳ Pending,,
6,Easthampton Head Start,Crèche,US,Northampton,"56 Vernon St, Northampton, MA 01060",,N/A,(413) 203-8270,⏳ Pending,,
7,Londres,,GB,Londres,"Londres, Royaume-Uni",http://www.london.gov.uk/,N/A,,⏳ Pending,,
8,Mian Tian Sing Hair Salon,Salon de coiffure,US,New York,"170 Canal St 2nd floor, New York, NY 10013",https://www.miantiansingsalon.com/,N/A,(917) 353-5985,⏳ Pending,,
9,Salon 25,Institut de beauté,US,New York,"111 John St, New York, NY 10038",,N/A,(212) 227-4066,⏳ Pending,,
10,Madison25 h&n,Institut de beauté,US,New York,"420 Madison Ave Suite406, New York, NY 10017",https://www.madison25nyc.com/,N/A,(212) 755-2623,⏳ Pending,,
11,NoHo Hair Salon,Salon de coiffure,US,New York,"641 Broadway, New York, NY 10012",https://www.nohosalon.com/,N/A,(212) 777-2899,⏳ Pending,,
12,Adel Atelier,Salon de coiffure,US,New York,"231 E 58th St, New York, NY 10022",http://adelatelier.com/,N/A,(917) 257-9080,⏳ Pending,,
13,Yama Hair Salon,Salon de coiffure,US,New York,"6 Spring St, New York, NY 10012",http://yamahairsalon.com/,N/A,(917) 475-1283,⏳ Pending,,
14,CLW Hair Fashion,Salon de coiffure,US,New York,"115 Mott St, New York, NY 10013",,N/A,(917) 261-5191,⏳ Pending,,
15,Fox and Jane Salon,Salon de coiffure,US,New York,"143 Ludlow St, New York, NY 10002",http://foxandjanesalon.com/,N/A,(212) 837-2774,⏳ Pending,,
16,Palms Salon,Salon de coiffure,US,New York,"353 E 15th St FL 2, New York, NY 10003",https://palms-salon.com/,N/A,(646) 599-3342,⏳ Pending,,
17,"Love, Dunette",Salon de coiffure,US,New York,"124 Ridge St, New York, NY 10002",http://www.lovedunette.com/,N/A,(646) 912-9332,⏳ Pending,,
18,Salon V,Salon de coiffure,US,New York,"10 E 8th St, New York, NY 10003",http://www.salonvnyc.com/,N/A,(212) 529-0241,⏳ Pending,,
19,Unfade x Muze Salon,Salon de coiffure,US,New York,"141 W 20th St, New York, NY 10011",http://unfadexmuze.com/,N/A,(929) 666-8658,⏳ Pending,,
20,IGK Salon,Salon de coiffure,US,New York,"325 W Broadway, New York, NY 10013",https://www.igkhair.com/,N/A,(646) 992-1392,⏳ Pending,,
21,Salon West,Salon de coiffure,US,New York,"625 Amsterdam Ave, New York, NY 10024",http://www.salonwestnyc.com/,N/A,(646) 876-1127,⏳ Pending,,
22,Honeybliss Salon,Salon de coiffure,US,New York,"1216 Lexington Ave, New York, NY 10028",http://www.honeyblisssalon.com/,N/A,(212) 288-1676,⏳ Pending,,
23,Mure Salon,Salon de coiffure,US,New York,"1566 2nd Ave, New York, NY 10028",https://www.muresalon.com/,N/A,(212) 628-5393,⏳ Pending,,
24,MEY New York,Salon de coiffure,US,New York,"90 E 3rd St, New York, NY 10003",https://meynewyork.com/,N/A,(347) 639-2444,⏳ Pending,,
25,Shear Bliss NYC Salon,Salon de coiffure,US,New York,"397 3rd Ave, New York, NY 10016",https://www.shearblissnyc.com/,N/A,(212) 213-6050,⏳ Pending,,
26,Salon 241,Salon de coiffure,US,Northampton,"30 Market St, Northampton, MA 01060",http://www.salon241.com/,N/A,(413) 584-7798,⏳ Pending,,
27,Bon Bon Salon,Salon de coiffure,US,New York,"353 Lexington Ave, New York, NY 10016",https://bon-bon.com/,N/A,(212) 286-5300,⏳ Pending,,
28,Rogue House Salon,Salon de coiffure,US,New York,"74 E 7th St, New York, NY 10003",https://roguehousesalon.com/,N/A,(917) 983-9177,⏳ Pending,,
29,One Salon,Salon de coiffure,US,New York,"1111 2nd Ave, New York, NY 10022",https://onesalonnyc.com/,N/A,(646) 566-8253,⏳ Pending,,
30,Bon Bon Salon & Spa,Salon de coiffure,US,New York,"270 Madison Ave, New York, NY 10016",https://www.bon-bon.com/,N/A,(212) 286-2266,⏳ Pending,,
31,Shampoo Avenue B,Salon de coiffure,US,New York,"14 Avenue B, New York, NY 10009",https://www.shampooavenueb.com/,N/A,(212) 777-2031,⏳ Pending,,
32,The Drawing Room New York,Salon de coiffure,US,New York,"148 Spring St, New York, NY 10012",https://thedrawingroomny.com/,N/A,(212) 226-2600,⏳ Pending,,
33,& Plus salon,Salon de coiffure,US,New York,"152 Allen St, New York, NY 10002",https://instagram.com/hairloungenyc?igshid=17efre9radsta,N/A,(212) 777-7718,⏳ Pending,,
34,NEPA Liquidation,Liquidateur,US,Avoca,"507 Rocky Glen Rd, Avoca, PA 18641",http://www.nepaliquidation.com/,N/A,(570) 299-9754,⏳ Pending,,
35,The Pallet Factory,Service de transport,US,Warwick,"88 D Jefferson Blvd, Warwick, RI 02888",https://www.facebook.com/marketplace/profile/100029405830239/?ref=permalink&mibextid=6ojiHh,N/A,(401) 388-0093,⏳ Pending,,
36,888 Lots,Liquidateur,US,Linden,"1416 E Linden Ave, Linden, NJ 07036",https://888lots.com/?utm_campaign=WebsiteLinkBusinessInfo&utm_medium=GoogleBusinessInfo&utm_source=GoogleBusinessProfile,N/A,(908) 583-9300,⏳ Pending,,
37,AAA Closeout Liquidators,Liquidateur,US,Albany,"Sorry, no walk-in visitors. Visits by written E-MAIL appointment only!, 41 State St, Albany, NY 12207",https://aaacloseout.com/,N/A,(518) 217-8587,⏳ Pending,,
38,Elite Liquidations,Liquidateur,US,Nashua,"18 Celina Ave #16, Nashua, NH 03063",,N/A,(603) 440-0433,⏳ Pending,,
39,Closeout Pallet,Grossiste,US,Garwood,"110 South Ave A, Garwood, NJ 07027",https://closeoutpallets.com/,N/A,(347) 685-9335,⏳ Pending,,
40,westchester liquidators,Grossiste,US,Mt Vernon,"6 S 4th Ave, Mt Vernon, NY 10550",https://instagram.com/westchesterliquidators?igshid=YmMyMTA2M2Y=,N/A,(914) 371-1531,⏳ Pending,,
41,Liquidation and Surplus,Fournisseur d'équipement de manutention,US,Ghent,"34 Salerno Dr, Ghent, NY 12075",,N/A,(845) 988-6606,⏳ Pending,,
42,B J Liquidators,Liquidateur,US,Smithfield,"Tarklin Rd, Smithfield, RI 02917",,N/A,(401) 949-1778,⏳ Pending,,
43,Treasure Liquidation,Liquidateur,US,East Longmeadow,"169 Shaker Rd, East Longmeadow, MA 01028",https://sites.google.com/d/1M05Cf-_q9Nb9YQy3as7st1UvJ__VpjM3/p/1wQZrS9G1tL3D5aZcH9jT0upk4Br9x-Ti/edit?pli=1,N/A,(413) 419-7124,⏳ Pending,,
44,Opened box liquidation pallets llc,Agence de location d’espaces commerciaux,US,Bronx,"554 Casanova St, Bronx, NY 10474",https://usapalletliquidators.com/,N/A,,⏳ Pending,,
45,"SCD Sales and Liquidation, LLC",Grossiste,US,Johnston,"807 Hartford Ave, Johnston, RI 02919",https://www.scdliquidation.com/,N/A,(401) 300-0159,⏳ Pending,,
46,Rays liquidation,Liquidateur,US,Chicopee,"151 E Main St, Chicopee, MA 01020",https://m.facebook.com/Raysliquidations/,N/A,(413) 523-4223,⏳ Pending,,
47,American Liquidations,Grossiste,US,Waterbury,"204 Austin Rd, Waterbury, CT 06705",https://www.americanliquidations.com/,N/A,(203) 587-4132,⏳ Pending,,
48,Mega National Liquidators Inc,Liquidateur,US,Bronx,"4001 White Plains Rd, Bronx, NY 10466",https://meganationalliquidators.com/,N/A,(718) 882-6636,⏳ Pending,,
49,California Avenue Skin & Body,Institut de beauté,US,Fair Oaks,"7996 California Ave Suite B, Fair Oaks, CA 95628",,N/A,(916) 966-0180,⏳ Pending,,
50,DermaNew Microdermabrasion Skin Care,Clinique dermatologique,US,Beverly Hills,"Beverly Hills, CA 90210",,N/A,(310) 704-1418,⏳ Pending,,
51,Skin Renewal,Clinique dermatologique,US,Laguna Hills,"23121 Verdugo Dr #104, Laguna Hills, CA 92653",https://www.myskinrenewal.com/,N/A,(949) 981-3426,⏳ Pending,,
52,Southern California Skin & Laser,Clinique dermatologique,US,Laguna Niguel,"27020 Alicia Pkwy G, Laguna Niguel, CA 92677",http://www.socalskinandlaser.com/,N/A,(949) 707-5734,⏳ Pending,,
53,SF Skincare,Institut de soins du visage,US,San Francisco,"2000 Van Ness Ave Suite 307, San Francisco, CA 94109",http://www.sfskincare.com/,N/A,(415) 922-5694,⏳ Pending,,
