#,BUSINESS NAME,CATEGORY,COUNTRY,CITY,ADDRESS,WEBSITE,EMAIL,PHONE,STATUS,OUTREACH,NOTES
,Supreme Wholesale Liquidation,Wholesaler,US,Wayne,"25 Continental Dr, Wayne, NJ 07470",,N/A,"(718) 300-9279
",,🆕 New Lead,
,Arizona Pallet LLC,Fournisseur de palettes,US,Phoenix,"646 S 27th Ave, Phoenix, AZ 85009",,,(602) 269-6307,,🆕 New Lead,
,,,,,{{ $('Loop Over Items').item.json.address }},,,,,,
,L&L Liquidations,Liquidateur,US,Phoenix,"3440 W Lewis Ave ste h, Phoenix, AZ 85009",,,(602) 810-7487,,🆕 New Lead,
,Bargain Central Warehouse,Magasin discount,US,Mesa,"251 N Morris, Mesa, AZ 85201",https://bargaincentralwarehouse.com/,,(480) 833-6155,,🆕 New Lead,
,Let's Go Shopping Mesa,Magasin,US,Mesa,"1356 S Gilbert Rd Ste 15, Mesa, AZ 85204",,,(480) 306-8725,,🆕 New Lead,
,Arizona Recycling Pallets LLC,Fournisseur de palettes,US,Phoenix,"1601 W Broadway Rd, Phoenix, AZ 85041",https://palletsarllc.wixsite.com/arizonarecyclingpall,,(480) 358-0486,,🆕 New Lead,
,Cactus Liquidation Inc,Liquidateur,US,Glendale,"4323 W Cactus Rd Suite 7, Glendale, AZ 85304",,,(602) 768-7018,,🆕 New Lead,
,America Wholesale Furniture LLC,Magasin d'ameublement et de décoration,US,Phoenix,"2626 W Glenrosa Ave, Phoenix, AZ 85017",https://www.americawholesalefurniture.com/,,(602) 812-4122,,🆕 New Lead,
,blowout liquidation - bin store,Liquidateur,US,Phoenix,"3539 W Northern Ave, Phoenix, AZ 85051",http://blowoutliquidation.com/,,(480) 338-2651,,🆕 New Lead,
,Coast-to-Coast Liquidators,Magasin discount,US,Phoenix,"9015 N 43rd Ave, Phoenix, AZ 85051",http://coastliquidation.com/,,(602) 824-8741,,🆕 New Lead,
,Liquidation Center,Liquidateur,US,Phoenix,"3840 N 28th Ave, Phoenix, AZ 85017",,,(602) 484-0133,,🆕 New Lead,
,Liquidation World,Liquidateur,US,Phoenix,"2902 W Van Buren St, Phoenix, AZ 85009",http://liquidationworldaz.com/,,(623) 387-1700,,🆕 New Lead,
,Liquidation Auction Phoenix,Magasin,US,Phoenix,"2434 E Thomas Rd, Phoenix, AZ 85016",https://liquidationlandphoenix.com/,,,,🆕 New Lead,
,SaleSumo,Liquidateur,US,Phoenix,"221 N 48th Ave, Phoenix, AZ 85043",http://www.salesumo.com/,,(602) 332-8056,,🆕 New Lead,
,Wrapped Pallets Liquidation Phoenix,Liquidateur,US,Phoenix,"1000 W Vista Bonita Dr Suite B104, Phoenix, AZ 85027",https://www.wrappedpallets.com/,,(602) 856-7680,,🆕 New Lead,
,Appliance Liquidators,Liquidateur,US,Phoenix,"3111 E Greenway Rd, Phoenix, AZ 85032",https://www.azpalletliquidators.com/?utm_source=gmb&utm_medium=organichttp://www.azpalletliquidators.com/,,(480) 470-1600,,🆕 New Lead,
